session_id,visitor_id,landing_page,traffic_source,device_type,pages_viewed,session_duration_sec,converted,visit_time
sess_000037,2298,/pricing,Google Ads,Mobile,6,103,0,2026-09-01 17:02:00
sess_000038,2672,/solutions/enterprise,Organic Search,Mobile,3,9,0,2026-08-31 20:58:00
sess_000039,2558,/signup,Google Ads,Desktop,5,105,0,2026-08-04 13:51:00
sess_000040,2738,/solutions/enterprise,Direct,Mobile,3,79,0,2026-08-31 21:22:00
sess_000041,1524,/pricing,Organic Search,Desktop,7,18,0,2026-08-23 04:18:00
sess_000042,2500,/home,Organic Search,Desktop,1,305,0,2026-08-25 09:13:00
sess_000043,1365,/pricing,GitHub,Desktop,5,228,0,2026-09-04 09:33:00
sess_000044,2810,/signup,Organic Search,Desktop,2,64,0,2026-08-19 20:20:00
sess_000045,2028,/pricing,Google Ads,Mobile,4,59,0,2026-08-09 03:46:00
sess_000046,2007,/solutions/enterprise,GitHub,Desktop,3,428,0,2026-09-04 02:29:00
sess_000047,1474,/product/analytics,Organic Search,Desktop,1,42,0,2026-08-01 10:07:00
sess_000048,2446,/solutions/enterprise,Google Ads,Mobile,2,377,0,2026-08-23 12:42:00
sess_000049,2933,/solutions/enterprise,Organic Search,Desktop,4,19,0,2026-08-30 08:22:00
sess_000050,2173,/solutions/enterprise,Organic Search,Desktop,7,334,0,2026-08-02 13:57:00
sess_000051,1445,/signup,LinkedIn,Mobile,1,145,1,2026-09-12 07:27:00
sess_000052,2459,/solutions/enterprise,LinkedIn,Mobile,2,274,0,2026-08-09 01:45:00
sess_000053,1793,/signup,Organic Search,Mobile,2,22,0,2026-08-19 18:15:00
sess_000054,3164,/home,Direct,Desktop,3,103,0,2026-09-09 18:43:00
sess_000055,1395,/signup,Direct,Desktop,6,112,0,2026-09-05 01:41:00
sess_000056,2840,/docs/api,Organic Search,Desktop,2,135,0,2026-08-04 08:26:00
sess_000057,2675,/pricing,Direct,Desktop,1,182,0,2026-08-05 06:04:00
sess_000058,3436,/pricing,Direct,Mobile,2,93,0,2026-08-04 17:54:00
sess_000059,1611,/product/analytics,Organic Search,Mobile,1,111,0,2026-08-20 06:33:00
sess_000060,2627,/home,LinkedIn,Desktop,2,88,0,2026-08-16 05:31:00
sess_000061,1434,/signup,Organic Search,Desktop,3,220,0,2026-08-22 20:27:00
sess_000062,2259,/signup,Direct,Desktop,3,435,0,2026-08-16 23:50:00
sess_000063,3406,/signup,Organic Search,Mobile,5,26,0,2026-08-31 11:08:00
sess_000064,1978,/product/analytics,Direct,Desktop,5,66,0,2026-08-25 00:37:00
sess_000065,1792,/pricing,GitHub,Desktop,1,49,0,2026-09-06 04:59:00
sess_000066,2762,/signup,LinkedIn,Mobile,2,509,0,2026-09-07 05:57:00
sess_000067,2207,/product/analytics,Organic Search,Mobile,12,167,0,2026-09-11 10:10:00
sess_000068,1274,/solutions/enterprise,GitHub,Mobile,2,32,0,2026-09-06 22:55:00
sess_000069,2618,/solutions/enterprise,Direct,Desktop,1,96,0,2026-08-30 11:59:00
sess_000070,1607,/pricing,Organic Search,Mobile,3,120,0,2026-08-14 22:07:00
sess_000071,3093,/product/analytics,Direct,Tablet,1,180,0,2026-09-06 19:09:00
sess_000072,2681,/solutions/enterprise,Organic Search,Mobile,3,48,0,2026-08-25 11:12:00
sess_000073,2212,/home,GitHub,Desktop,5,130,0,2026-08-26 10:07:00
sess_000074,1582,/home,Direct,Desktop,1,296,0,2026-09-04 12:49:00
sess_000075,1429,/pricing,Direct,Desktop,2,199,0,2026-08-13 19:06:00
sess_000076,3376,/docs/api,Organic Search,Desktop,2,24,0,2026-09-13 15:25:00
sess_000077,2073,/docs/api,Google Ads,Mobile,21,443,0,2026-08-14 09:46:00
sess_000078,2398,/product/analytics,Referral,Desktop,4,79,0,2026-08-12 05:45:00
sess_000079,1650,/pricing,Google Ads,Desktop,1,104,0,2026-08-31 20:41:00
sess_000080,2879,/pricing,Organic Search,Mobile,1,217,0,2026-08-29 20:50:00
sess_000081,1605,/solutions/enterprise,Google Ads,Desktop,1,116,1,2026-08-14 16:59:00
sess_000082,2020,/solutions/enterprise,Organic Search,Desktop,1,164,0,2026-09-14 19:08:00
sess_000083,1938,/home,Organic Search,Mobile,2,121,0,2026-08-01 02:50:00
sess_000084,3082,/home,Direct,Desktop,2,71,0,2026-08-12 04:32:00
sess_000085,1058,/pricing,LinkedIn,Desktop,1,109,0,2026-08-22 17:46:00
sess_000086,1523,/solutions/enterprise,Organic Search,Desktop,3,72,0,2026-09-14 12:29:00
sess_000087,1539,/solutions/enterprise,LinkedIn,Mobile,1,112,0,2026-08-19 23:51:00
sess_000088,1866,/pricing,Google Ads,Mobile,8,45,0,2026-08-29 19:27:00
sess_000089,3423,/home,Organic Search,Desktop,4,16,0,2026-08-30 05:12:00
sess_000090,2151,/solutions/enterprise,Direct,Desktop,1,220,0,2026-09-13 05:10:00
sess_000091,3240,/docs/api,Direct,Desktop,1,29,0,2026-09-14 05:14:00
sess_000092,1384,/product/analytics,Google Ads,Desktop,12,315,0,2026-08-04 02:14:00
sess_000093,2458,/signup,Google Ads,Desktop,1,86,0,2026-08-08 07:30:00
sess_000094,2259,/signup,Google Ads,Desktop,1,56,0,2026-08-07 13:12:00
sess_000095,3189,/home,LinkedIn,Desktop,1,99,0,2026-08-03 13:48:00
sess_000096,3382,/signup,LinkedIn,Desktop,4,34,0,2026-09-02 02:48:00
sess_000097,1766,/docs/api,Direct,Mobile,3,345,0,2026-08-15 11:32:00
sess_000098,2931,/pricing,Direct,Desktop,1,37,0,2026-09-10 03:50:00
sess_000099,3472,/pricing,Direct,Mobile,2,127,0,2026-08-16 04:28:00
sess_000100,1707,/product/analytics,Google Ads,Desktop,1,36,0,2026-09-14 08:00:00
sess_000101,2265,/solutions/enterprise,Direct,Desktop,1,13,0,2026-08-29 17:25:00
sess_000102,1106,/docs/api,Referral,Desktop,1,292,0,2026-08-20 14:33:00
sess_000103,1724,/signup,Organic Search,Desktop,1,151,0,2026-08-09 02:08:00
sess_000104,2921,/solutions/enterprise,Direct,Desktop,5,19,0,2026-08-08 02:33:00
sess_000105,3035,/signup,Organic Search,Desktop,5,407,0,2026-09-09 03:25:00
sess_000106,1596,/signup,Direct,Mobile,4,94,0,2026-08-20 19:17:00
sess_000107,1445,/signup,Google Ads,Desktop,4,104,0,2026-08-09 17:25:00
sess_000108,2336,/docs/api,Google Ads,Desktop,1,127,0,2026-08-14 17:03:00
sess_000109,1833,/pricing,Organic Search,Desktop,2,50,0,2026-08-29 22:46:00
sess_000110,1074,/pricing,Referral,Desktop,2,149,0,2026-08-11 10:05:00
sess_000111,2700,/solutions/enterprise,GitHub,Tablet,3,56,0,2026-09-11 07:18:00
sess_000112,3478,/solutions/enterprise,GitHub,Tablet,6,330,0,2026-09-13 22:34:00
sess_000113,2212,/docs/api,Direct,Mobile,7,319,0,2026-08-09 12:41:00
sess_000114,1339,/product/analytics,Direct,Desktop,1,121,0,2026-08-22 18:22:00
sess_000115,1226,/pricing,Organic Search,Desktop,2,141,0,2026-09-11 06:03:00
sess_000116,1688,/docs/api,Direct,Desktop,1,894,0,2026-08-01 05:38:00
sess_000117,2477,/home,Organic Search,Desktop,3,290,0,2026-09-12 23:34:00
sess_000118,1256,/signup,Google Ads,Desktop,3,16,1,2026-08-08 09:30:00
sess_000119,2804,/solutions/enterprise,Direct,Desktop,6,39,0,2026-08-07 07:53:00
sess_000120,2317,/pricing,Organic Search,Desktop,3,168,0,2026-08-09 15:13:00
sess_000121,1997,/product/analytics,GitHub,Desktop,5,88,0,2026-08-03 21:47:00
sess_000122,1355,/product/analytics,Organic Search,Mobile,2,298,0,2026-08-07 23:38:00
sess_000123,3176,/home,GitHub,Desktop,4,189,0,2026-08-17 07:29:00
sess_000124,1896,/solutions/enterprise,Organic Search,Desktop,1,846,0,2026-08-04 23:12:00
sess_000125,2618,/solutions/enterprise,LinkedIn,Desktop,1,7,0,2026-09-08 21:16:00
sess_000126,2525,/docs/api,LinkedIn,Desktop,2,108,0,2026-08-12 20:29:00
sess_000127,2484,/home,Google Ads,Mobile,7,99,0,2026-08-30 12:44:00
sess_000128,2386,/signup,Direct,Desktop,7,107,0,2026-08-22 19:11:00
sess_000129,1968,/product/analytics,Organic Search,Desktop,3,394,0,2026-08-26 09:53:00
sess_000130,1524,/product/analytics,Organic Search,Mobile,1,98,0,2026-08-25 15:10:00
sess_000131,1806,/home,GitHub,Desktop,4,291,0,2026-08-03 14:51:00
sess_000132,2555,/home,Direct,Desktop,1,185,0,2026-08-25 07:45:00
sess_000133,1984,/product/analytics,Google Ads,Desktop,2,125,0,2026-08-17 11:07:00
sess_000134,2905,/home,LinkedIn,Mobile,2,217,0,2026-08-23 07:54:00
sess_000135,1408,/home,LinkedIn,Desktop,7,51,0,2026-08-05 09:12:00
sess_000136,1985,/solutions/enterprise,Referral,Mobile,4,32,0,2026-09-03 20:34:00
sess_000137,2463,/home,Direct,Desktop,1,620,0,2026-09-05 09:50:00
sess_000138,2408,/product/analytics,LinkedIn,Desktop,6,94,0,2026-08-22 12:48:00
sess_000139,2607,/pricing,Google Ads,Desktop,2,70,0,2026-08-30 08:43:00
sess_000140,1483,/product/analytics,Organic Search,Desktop,4,60,0,2026-08-12 01:21:00
sess_000141,3224,/signup,Referral,Desktop,5,180,0,2026-09-02 21:29:00
sess_000142,1533,/signup,Organic Search,Desktop,19,1019,0,2026-08-21 04:39:00
sess_000143,3417,/solutions/enterprise,LinkedIn,Desktop,2,410,0,2026-08-02 20:41:00
sess_000144,2620,/home,Referral,Desktop,6,97,0,2026-09-12 12:17:00
sess_000145,2566,/product/analytics,Google Ads,Desktop,1,411,0,2026-08-04 10:50:00
sess_000146,2768,/signup,Organic Search,Desktop,16,114,0,2026-08-21 12:10:00
sess_000147,1922,/docs/api,Direct,Mobile,2,25,0,2026-08-01 00:19:00
sess_000148,1769,/pricing,Direct,Mobile,4,42,0,2026-09-07 03:20:00
sess_000149,2400,/product/analytics,Direct,Mobile,15,55,0,2026-08-12 22:16:00
sess_000150,3396,/home,LinkedIn,Desktop,1,454,0,2026-08-17 09:26:00
sess_000151,2001,/solutions/enterprise,Google Ads,Mobile,3,700,0,2026-09-12 20:00:00
sess_000152,2321,/pricing,Google Ads,Desktop,19,51,0,2026-09-06 10:01:00
sess_000153,3439,/signup,Organic Search,Desktop,9,97,0,2026-08-25 11:22:00
sess_000154,2314,/signup,Organic Search,Mobile,1,723,0,2026-08-13 17:56:00
sess_000155,1620,/docs/api,Organic Search,Desktop,1,343,0,2026-09-07 11:32:00
sess_000156,1546,/docs/api,Organic Search,Desktop,2,110,0,2026-08-02 04:33:00
sess_000157,2558,/home,Direct,Tablet,5,113,0,2026-09-01 07:50:00
sess_000158,1301,/docs/api,Direct,Desktop,5,384,1,2026-08-13 00:12:00
sess_000159,1786,/pricing,Direct,Desktop,3,10,0,2026-08-13 05:04:00
sess_000160,1078,/signup,Organic Search,Desktop,3,485,0,2026-08-03 11:12:00
sess_000161,1608,/docs/api,Direct,Desktop,1,21,0,2026-08-17 10:35:00
sess_000162,1482,/home,Direct,Mobile,2,422,0,2026-08-23 11:53:00
sess_000163,2767,/signup,Google Ads,Mobile,3,16,0,2026-09-06 03:39:00
sess_000164,2457,/docs/api,Google Ads,Mobile,4,630,0,2026-08-11 15:28:00
sess_000165,1414,/solutions/enterprise,Direct,Desktop,1,6,0,2026-08-08 07:06:00
sess_000166,2734,/signup,Direct,Mobile,4,608,1,2026-09-12 05:13:00
sess_000167,1933,/pricing,Organic Search,Mobile,8,16,0,2026-08-25 14:46:00
sess_000168,1312,/signup,Organic Search,Desktop,5,29,1,2026-08-26 17:49:00
sess_000169,1502,/signup,GitHub,Desktop,3,598,0,2026-09-05 23:15:00
sess_000170,2373,/home,Google Ads,Mobile,1,287,0,2026-09-09 17:07:00
sess_000171,2202,/home,Organic Search,Desktop,5,334,1,2026-08-10 18:16:00
sess_000172,1715,/solutions/enterprise,GitHub,Mobile,4,106,0,2026-08-15 05:39:00
sess_000173,3241,/home,LinkedIn,Desktop,3,20,0,2026-08-13 20:23:00
sess_000174,2556,/product/analytics,Google Ads,Desktop,5,34,0,2026-08-23 15:10:00
sess_000175,2692,/home,Direct,Desktop,4,468,1,2026-08-23 00:32:00
sess_000176,1595,/signup,Organic Search,Desktop,2,92,0,2026-08-29 03:30:00
sess_000177,1895,/signup,Direct,Desktop,1,258,0,2026-08-10 19:27:00
sess_000178,2201,/docs/api,Direct,Desktop,2,215,0,2026-08-31 15:07:00
sess_000179,2407,/home,Google Ads,Mobile,1,120,0,2026-09-01 22:08:00
sess_000180,1270,/pricing,Google Ads,Desktop,1,359,0,2026-08-03 08:00:00
sess_000181,1736,/home,LinkedIn,Desktop,1,196,0,2026-09-09 23:46:00
sess_000182,3228,/pricing,Direct,Desktop,2,247,0,2026-08-21 19:31:00
sess_000183,1258,/signup,LinkedIn,Tablet,3,331,0,2026-09-04 10:21:00
sess_000184,2878,/solutions/enterprise,Organic Search,Mobile,2,50,0,2026-08-05 11:10:00
sess_000185,3069,/product/analytics,Referral,Desktop,4,67,0,2026-08-21 08:05:00
sess_000186,3342,/docs/api,Organic Search,Mobile,4,258,0,2026-08-31 12:34:00
sess_000187,2996,/product/analytics,LinkedIn,Mobile,4,323,0,2026-09-12 17:59:00
sess_000188,1523,/product/analytics,Organic Search,Desktop,3,168,0,2026-09-04 07:19:00
sess_000189,2324,/solutions/enterprise,Organic Search,Mobile,4,905,0,2026-09-13 14:42:00
sess_000190,2376,/home,LinkedIn,Mobile,11,383,0,2026-09-07 12:34:00
sess_000191,2786,/signup,LinkedIn,Mobile,4,295,0,2026-08-29 15:57:00
sess_000192,1866,/product/analytics,Organic Search,Mobile,4,55,0,2026-08-04 11:55:00
sess_000193,1806,/docs/api,LinkedIn,Desktop,1,77,0,2026-08-12 21:00:00
sess_000194,1258,/pricing,Organic Search,Desktop,2,85,0,2026-08-28 11:49:00
sess_000195,2198,/signup,Referral,Desktop,2,22,0,2026-08-05 02:56:00
sess_000196,1523,/signup,LinkedIn,Mobile,2,241,0,2026-09-01 12:16:00
sess_000197,2578,/solutions/enterprise,Organic Search,Desktop,2,100,0,2026-08-14 16:42:00
sess_000198,1332,/solutions/enterprise,Organic Search,Desktop,3,179,0,2026-08-23 22:50:00
sess_000199,1706,/product/analytics,Organic Search,Desktop,3,227,0,2026-08-09 20:52:00
sess_000200,2809,/signup,Organic Search,Mobile,6,6,0,2026-08-21 07:21:00
sess_000201,2646,/signup,Direct,Desktop,3,13,0,2026-09-02 03:50:00
sess_000202,1089,/home,Organic Search,Desktop,6,78,0,2026-08-15 21:19:00
sess_000203,2523,/product/analytics,Direct,Desktop,3,196,0,2026-08-07 12:48:00
sess_000204,2283,/pricing,Organic Search,Desktop,2,122,0,2026-08-02 18:54:00
sess_000205,1267,/product/analytics,LinkedIn,Desktop,3,508,0,2026-09-01 04:01:00
sess_000206,3100,/signup,Direct,Mobile,4,58,0,2026-08-12 08:42:00
sess_000207,1271,/home,LinkedIn,Desktop,4,24,0,2026-08-31 19:36:00
sess_000208,1144,/solutions/enterprise,Referral,Desktop,6,26,0,2026-08-14 16:32:00
sess_000209,3457,/docs/api,Direct,Mobile,7,50,0,2026-09-09 11:30:00
sess_000210,2793,/solutions/enterprise,Organic Search,Desktop,2,53,0,2026-08-16 01:27:00
sess_000211,1028,/home,Referral,Desktop,1,90,0,2026-09-12 10:39:00
sess_000212,2519,/solutions/enterprise,Organic Search,Desktop,3,154,0,2026-08-25 00:33:00
sess_000213,2710,/signup,Google Ads,Mobile,1,56,0,2026-08-03 12:47:00
sess_000214,1906,/product/analytics,Organic Search,Mobile,7,135,1,2026-08-17 21:29:00
sess_000215,2380,/product/analytics,LinkedIn,Tablet,5,121,0,2026-09-01 20:59:00
sess_000216,1673,/product/analytics,Direct,Mobile,4,71,0,2026-08-28 03:39:00
sess_000217,1501,/product/analytics,Google Ads,Desktop,8,107,0,2026-09-12 15:56:00
sess_000218,2254,/home,LinkedIn,Desktop,7,92,0,2026-08-27 18:46:00
sess_000219,2564,/pricing,Organic Search,Mobile,8,544,0,2026-08-27 19:56:00
sess_000220,1992,/product/analytics,LinkedIn,Mobile,4,17,0,2026-08-24 12:17:00
sess_000221,1120,/solutions/enterprise,Organic Search,Mobile,2,267,0,2026-08-23 22:55:00
sess_000222,3224,/home,Organic Search,Mobile,1,71,0,2026-08-07 10:26:00
sess_000223,1346,/signup,Organic Search,Mobile,1,41,0,2026-08-11 12:09:00
sess_000224,3191,/home,Organic Search,Mobile,5,373,0,2026-08-16 07:52:00
sess_000225,1336,/docs/api,LinkedIn,Mobile,1,119,0,2026-09-05 14:43:00
sess_000226,1930,/product/analytics,Referral,Desktop,2,133,0,2026-08-27 10:35:00
sess_000227,3099,/solutions/enterprise,LinkedIn,Desktop,3,101,0,2026-08-25 07:18:00
sess_000228,1235,/pricing,LinkedIn,Desktop,1,98,0,2026-08-19 07:33:00
sess_000229,3428,/pricing,Google Ads,Mobile,12,217,0,2026-09-13 00:22:00
sess_000230,1490,/signup,GitHub,Desktop,5,261,0,2026-08-19 20:22:00
sess_000231,3490,/solutions/enterprise,Organic Search,Desktop,3,285,0,2026-09-12 14:57:00
sess_000232,1459,/home,LinkedIn,Desktop,7,139,0,2026-08-25 09:52:00
sess_000233,2774,/solutions/enterprise,Organic Search,Desktop,2,222,0,2026-08-31 16:25:00
sess_000234,1937,/docs/api,Direct,Desktop,7,275,0,2026-09-07 01:25:00
sess_000235,2967,/home,Organic Search,Tablet,5,211,1,2026-08-15 11:10:00
sess_000236,2776,/signup,Organic Search,Mobile,1,43,0,2026-08-09 23:18:00
sess_000237,3165,/docs/api,Organic Search,Desktop,5,228,0,2026-09-12 04:49:00
sess_000238,1428,/pricing,Referral,Desktop,5,193,0,2026-09-04 06:41:00
sess_000239,1071,/signup,Organic Search,Mobile,2,23,0,2026-08-16 02:16:00
sess_000240,3332,/product/analytics,LinkedIn,Desktop,2,192,0,2026-08-03 22:19:00
sess_000241,2538,/docs/api,GitHub,Desktop,1,379,0,2026-08-28 17:14:00
sess_000242,2812,/solutions/enterprise,Direct,Mobile,4,100,1,2026-08-12 18:53:00
sess_000243,1926,/product/analytics,LinkedIn,Desktop,4,30,0,2026-08-29 12:52:00
sess_000244,3270,/pricing,Organic Search,Desktop,12,174,0,2026-08-09 16:22:00
sess_000245,1976,/solutions/enterprise,Direct,Desktop,4,54,0,2026-08-26 10:07:00
sess_000246,2711,/docs/api,GitHub,Desktop,2,146,0,2026-08-27 07:28:00
sess_000247,2887,/solutions/enterprise,Organic Search,Desktop,1,204,0,2026-08-06 22:11:00
sess_000248,2303,/product/analytics,Organic Search,Mobile,5,133,0,2026-08-29 00:01:00
sess_000249,1233,/solutions/enterprise,Organic Search,Desktop,2,71,0,2026-09-06 10:18:00
sess_000250,3049,/docs/api,Direct,Desktop,9,355,0,2026-08-19 22:20:00
sess_000251,2568,/home,Google Ads,Mobile,1,31,0,2026-09-09 19:25:00
sess_000252,1033,/signup,Referral,Desktop,1,12,0,2026-08-02 03:16:00
sess_000253,3085,/pricing,Organic Search,Desktop,3,322,1,2026-08-23 10:40:00
sess_000254,3174,/pricing,Organic Search,Desktop,7,11,0,2026-08-19 07:37:00
sess_000255,2741,/product/analytics,Organic Search,Mobile,1,125,0,2026-08-26 01:26:00
sess_000256,1147,/solutions/enterprise,Referral,Desktop,1,143,0,2026-09-01 09:53:00
sess_000257,3003,/solutions/enterprise,Organic Search,Desktop,10,79,0,2026-08-04 10:12:00
sess_000258,3208,/docs/api,Organic Search,Desktop,1,63,0,2026-08-21 19:52:00
sess_000259,1633,/pricing,LinkedIn,Mobile,3,247,0,2026-09-05 03:37:00
sess_000260,1495,/pricing,Organic Search,Desktop,1,87,0,2026-08-22 07:40:00
sess_000261,3107,/product/analytics,Organic Search,Desktop,1,28,0,2026-09-02 01:16:00
sess_000262,1449,/pricing,Organic Search,Mobile,1,116,0,2026-09-11 15:31:00
sess_000263,1749,/docs/api,Referral,Desktop,4,238,0,2026-08-04 09:27:00
sess_000264,1700,/docs/api,Organic Search,Tablet,4,71,0,2026-08-09 06:07:00
sess_000265,1690,/signup,Organic Search,Desktop,1,30,0,2026-09-10 03:38:00
sess_000266,2743,/signup,LinkedIn,Mobile,1,80,0,2026-08-02 15:19:00
sess_000267,2160,/pricing,Organic Search,Desktop,8,146,0,2026-09-06 12:41:00
sess_000268,3314,/product/analytics,LinkedIn,Mobile,3,24,1,2026-08-02 13:55:00
sess_000269,2172,/docs/api,Direct,Desktop,5,53,0,2026-08-22 20:26:00
sess_000270,2170,/signup,Organic Search,Desktop,1,641,1,2026-08-07 22:59:00
sess_000271,1683,/product/analytics,Direct,Mobile,1,46,0,2026-08-22 20:49:00
sess_000272,2212,/solutions/enterprise,Referral,Mobile,2,16,0,2026-08-22 15:59:00
sess_000273,3176,/pricing,Google Ads,Desktop,3,106,0,2026-09-13 18:31:00
sess_000274,3287,/solutions/enterprise,Referral,Desktop,2,18,0,2026-09-05 12:32:00
sess_000275,3425,/solutions/enterprise,GitHub,Mobile,4,7,0,2026-09-10 08:43:00
sess_000276,2223,/pricing,Google Ads,Desktop,4,7,0,2026-08-31 03:23:00
sess_000277,3489,/solutions/enterprise,Organic Search,Mobile,2,68,0,2026-09-09 08:20:00
sess_000278,3397,/pricing,LinkedIn,Desktop,1,18,0,2026-08-30 21:59:00
sess_000279,3168,/signup,Direct,Desktop,3,43,0,2026-09-02 23:49:00
sess_000280,2650,/product/analytics,Direct,Desktop,1,193,0,2026-08-03 10:49:00
sess_000281,3088,/solutions/enterprise,GitHub,Desktop,2,66,0,2026-08-12 04:03:00
sess_000282,1151,/solutions/enterprise,Organic Search,Mobile,1,159,0,2026-08-07 10:37:00
sess_000283,1170,/docs/api,Organic Search,Mobile,3,100,0,2026-08-16 23:52:00
sess_000284,3384,/solutions/enterprise,GitHub,Mobile,4,393,0,2026-08-24 18:39:00
sess_000285,3141,/home,LinkedIn,Mobile,3,219,0,2026-08-10 23:23:00
sess_000286,2000,/signup,Organic Search,Desktop,4,349,0,2026-08-18 18:26:00
sess_000287,2800,/solutions/enterprise,Organic Search,Desktop,21,136,0,2026-08-27 21:44:00
sess_000288,2473,/solutions/enterprise,Direct,Mobile,3,278,0,2026-08-12 00:16:00
sess_000289,2241,/docs/api,Google Ads,Desktop,1,177,0,2026-09-08 03:39:00
sess_000290,3045,/home,Google Ads,Desktop,3,250,0,2026-08-31 05:23:00
sess_000291,2183,/product/analytics,Direct,Mobile,1,212,0,2026-09-14 09:16:00
sess_000292,2242,/pricing,Organic Search,Mobile,2,69,1,2026-08-04 10:33:00
sess_000293,3472,/solutions/enterprise,Google Ads,Desktop,2,29,0,2026-09-08 16:12:00
sess_000294,2034,/product/analytics,GitHub,Desktop,3,300,0,2026-08-06 09:22:00
sess_000295,3163,/signup,Direct,Desktop,3,19,0,2026-08-28 19:13:00
sess_000296,1740,/product/analytics,Organic Search,Mobile,4,172,0,2026-08-22 16:12:00
sess_000297,3257,/pricing,LinkedIn,Desktop,2,813,0,2026-09-11 13:35:00
sess_000298,1513,/pricing,Organic Search,Mobile,1,41,0,2026-09-01 19:24:00
sess_000299,2616,/product/analytics,LinkedIn,Desktop,2,249,0,2026-09-14 06:27:00
sess_000300,1970,/home,Organic Search,Desktop,5,555,0,2026-08-22 06:52:00
sess_000301,2707,/docs/api,Direct,Desktop,4,128,0,2026-08-23 02:27:00
sess_000302,3473,/product/analytics,LinkedIn,Desktop,1,158,0,2026-09-06 03:52:00
sess_000303,1866,/signup,Direct,Desktop,9,87,0,2026-08-14 10:33:00
sess_000304,2394,/signup,Google Ads,Desktop,2,109,0,2026-09-04 04:59:00
sess_000305,2495,/pricing,Direct,Desktop,3,184,1,2026-08-24 17:09:00
sess_000306,3205,/docs/api,Organic Search,Desktop,1,374,0,2026-08-03 09:01:00
sess_000307,3099,/pricing,Direct,Desktop,7,552,0,2026-08-17 02:13:00
sess_000308,2488,/product/analytics,Referral,Desktop,4,146,1,2026-08-31 09:09:00
sess_000309,1581,/docs/api,GitHub,Desktop,1,279,0,2026-09-03 07:08:00
sess_000310,2823,/pricing,Organic Search,Mobile,4,245,0,2026-09-03 00:23:00
sess_000311,1737,/pricing,Organic Search,Desktop,1,56,0,2026-08-08 19:15:00
sess_000312,1399,/signup,Direct,Desktop,1,116,0,2026-09-08 19:28:00
sess_000313,2680,/home,LinkedIn,Desktop,2,212,0,2026-08-19 05:46:00
